Designator,Mid X,Mid Y,Layer,Rotation
C1,83.60,-9.40,T,270.00
C1,83.60,-39.40,T,270.00
C1,53.60,-69.40,T,270.00
C1,83.60,-69.40,T,270.00
C1,23.60,-9.40,T,270.00
C1,23.60,-39.40,T,270.00
C1,53.60,-9.40,T,270.00
C1,23.60,-69.40,T,270.00
C1,53.60,-39.40,T,270.00
C2,19.50,-68.40,T,0.00
C2,19.50,-8.40,T,0.00
C2,49.50,-38.40,T,0.00
C2,49.50,-68.40,T,0.00
C2,49.50,-8.40,T,0.00
C2,79.50,-38.40,T,0.00
C2,19.50,-38.40,T,0.00
C2,79.50,-68.40,T,0.00
C2,79.50,-8.40,T,0.00
C3,22.30,-39.10,T,270.00
C3,82.30,-9.10,T,270.00
C3,52.30,-39.10,T,270.00
C3,82.30,-39.10,T,270.00
C3,52.30,-9.10,T,270.00
C3,52.30,-69.10,T,270.00
C3,82.30,-69.10,T,270.00
C3,22.30,-69.10,T,270.00
C3,22.30,-9.10,T,270.00
C4,43.10,-74.70,T,0.00
C4,73.10,-44.70,T,0.00
C4,73.10,-74.70,T,0.00
C4,73.10,-14.70,T,0.00
C4,13.10,-14.70,T,0.00
C4,13.10,-44.70,T,0.00
C4,43.10,-14.70,T,0.00
C4,13.10,-74.70,T,0.00
C4,43.10,-44.70,T,0.00
C5,42.60,-43.40,T,0.00
C5,72.60,-13.40,T,0.00
C5,72.60,-43.40,T,0.00
C5,42.60,-13.40,T,0.00
C5,72.60,-73.40,T,0.00
C5,42.60,-73.40,T,0.00
C5,12.60,-13.40,T,0.00
C5,12.60,-73.40,T,0.00
C5,12.60,-43.40,T,0.00
C6,84.40,-57.90,B,90.00
C6,24.40,-87.90,B,90.00
C6,24.40,-57.90,B,90.00
C6,84.40,-27.90,B,90.00
C6,24.40,-27.90,B,90.00
C6,54.40,-27.90,B,90.00
C6,54.40,-57.90,B,90.00
C6,84.40,-87.90,B,90.00
C6,54.40,-87.90,B,90.00
C7,51.20,-83.80,T,0.00
C7,81.20,-83.80,T,0.00
C7,21.20,-23.80,T,0.00
C7,51.20,-53.80,T,0.00
C7,51.20,-23.80,T,0.00
C7,81.20,-23.80,T,0.00
C7,81.20,-53.80,T,0.00
C7,21.20,-53.80,T,0.00
C7,21.20,-83.80,T,0.00
C9,52.60,-27.40,B,0.00
C9,82.60,-57.40,B,0.00
C9,22.60,-57.40,B,0.00
C9,82.60,-27.40,B,0.00
C9,22.60,-87.40,B,0.00
C9,22.60,-27.40,B,0.00
C9,52.60,-87.40,B,0.00
C9,82.60,-87.40,B,0.00
C9,52.60,-57.40,B,0.00
C10,85.90,-48.60,T,0.00
C10,25.90,-78.60,T,0.00
C10,25.90,-18.60,T,0.00
C10,85.90,-18.60,T,0.00
C10,85.90,-78.60,T,0.00
C10,55.90,-48.60,T,0.00
C10,55.90,-78.60,T,0.00
C10,25.90,-48.60,T,0.00
C10,55.90,-18.60,T,0.00
C13,76.90,-77.60,T,270.00
C13,46.90,-17.60,T,270.00
C13,76.90,-47.60,T,270.00
C13,16.90,-77.60,T,270.00
C13,46.90,-77.60,T,270.00
C13,76.90,-17.60,T,270.00
C13,46.90,-47.60,T,270.00
C13,16.90,-17.60,T,270.00
C13,16.90,-47.60,T,270.00
C16,26.30,-50.56,B,90.00
C16,56.30,-50.56,B,90.00
C16,26.30,-20.56,B,90.00
C16,86.30,-50.56,B,90.00
C16,86.30,-80.56,B,90.00
C16,26.30,-80.56,B,90.00
C16,56.30,-80.56,B,90.00
C16,56.30,-20.56,B,90.00
C16,86.30,-20.56,B,90.00
C17,22.60,-58.50,B,0.00
C17,52.60,-88.50,B,0.00
C17,82.60,-28.50,B,0.00
C17,52.60,-58.50,B,0.00
C17,22.60,-28.50,B,0.00
C17,52.60,-28.50,B,0.00
C17,22.60,-88.50,B,0.00
C17,82.60,-88.50,B,0.00
C17,82.60,-58.50,B,0.00
C18,23.40,-60.60,B,0.00
C18,83.40,-30.60,B,0.00
C18,23.40,-90.60,B,0.00
C18,83.40,-60.60,B,0.00
C18,53.40,-90.60,B,0.00
C18,53.40,-30.60,B,0.00
C18,53.40,-60.60,B,0.00
C18,83.40,-90.60,B,0.00
C18,23.40,-30.60,B,0.00
C19,47.30,-28.60,B,90.00
C19,77.30,-88.60,B,90.00
C19,17.30,-88.60,B,90.00
C19,77.30,-28.60,B,90.00
C19,47.30,-58.60,B,90.00
C19,17.30,-28.60,B,90.00
C19,77.30,-58.60,B,90.00
C19,47.30,-88.60,B,90.00
C19,17.30,-58.60,B,90.00
C20,27.10,-87.40,B,180.00
C20,87.10,-27.40,B,180.00
C20,87.10,-57.40,B,180.00
C20,57.10,-27.40,B,180.00
C20,27.10,-27.40,B,180.00
C20,57.10,-57.40,B,180.00
C20,57.10,-87.40,B,180.00
C20,87.10,-87.40,B,180.00
C20,27.10,-57.40,B,180.00
C33,42.60,-72.40,T,0.00
C33,42.60,-12.40,T,0.00
C33,72.60,-72.40,T,0.00
C33,42.60,-42.40,T,0.00
C33,12.60,-12.40,T,0.00
C33,12.60,-72.40,T,0.00
C33,72.60,-42.40,T,0.00
C33,12.60,-42.40,T,0.00
C33,72.60,-12.40,T,0.00
D2,72.50,-58.10,B,90.00
D2,72.50,-88.10,B,90.00
D2,72.50,-28.10,B,90.00
D2,12.50,-58.10,B,90.00
D2,42.50,-88.10,B,90.00
D2,12.50,-28.10,B,90.00
D2,42.50,-28.10,B,90.00
D2,12.50,-88.10,B,90.00
D2,42.50,-58.10,B,90.00
FB1,12.70,-46.00,T,0.00
FB1,42.70,-16.00,T,0.00
FB1,42.70,-46.00,T,0.00
FB1,72.70,-16.00,T,0.00
FB1,72.70,-76.00,T,0.00
FB1,12.70,-76.00,T,0.00
FB1,72.70,-46.00,T,0.00
FB1,42.70,-76.00,T,0.00
FB1,12.70,-16.00,T,0.00
FPC1,57.50,-13.60,B,0.00
FPC1,57.50,-73.60,B,0.00
FPC1,27.50,-73.60,B,0.00
FPC1,87.50,-43.60,B,0.00
FPC1,87.50,-73.60,B,0.00
FPC1,57.50,-43.60,B,0.00
FPC1,87.50,-13.60,B,0.00
FPC1,27.50,-43.60,B,0.00
FPC1,27.50,-13.60,B,0.00
IC2,85.50,-54.60,B,90.00
IC2,85.50,-84.60,B,90.00
IC2,25.50,-24.60,B,90.00
IC2,85.50,-24.60,B,90.00
IC2,25.50,-54.60,B,90.00
IC2,55.50,-54.60,B,90.00
IC2,55.50,-24.60,B,90.00
IC2,55.50,-84.60,B,90.00
IC2,25.50,-84.60,B,90.00
J1,25.10,-30.00,T,25.00
J1,85.10,-30.00,T,25.00
J1,85.10,-90.00,T,25.00
J1,55.10,-30.00,T,25.00
J1,55.10,-90.00,T,25.00
J1,25.10,-60.00,T,25.00
J1,25.10,-90.00,T,25.00
J1,85.10,-60.00,T,25.00
J1,55.10,-60.00,T,25.00
J4,18.95,-76.50,B,180.00
J4,78.95,-16.50,B,180.00
J4,48.95,-16.50,B,180.00
J4,18.95,-16.50,B,180.00
J4,48.95,-46.50,B,180.00
J4,78.95,-76.50,B,180.00
J4,48.95,-76.50,B,180.00
J4,78.95,-46.50,B,180.00
J4,18.95,-46.50,B,180.00
J6,16.90,-30.00,T,335.00
J6,46.90,-30.00,T,335.00
J6,16.90,-90.00,T,335.00
J6,76.90,-60.00,T,335.00
J6,76.90,-30.00,T,335.00
J6,16.90,-60.00,T,335.00
J6,76.90,-90.00,T,335.00
J6,46.90,-90.00,T,335.00
J6,46.90,-60.00,T,335.00
R1,58.99,-85.40,B,180.00
R1,58.99,-25.40,B,180.00
R1,28.99,-25.40,B,180.00
R1,28.99,-85.40,B,180.00
R1,88.99,-85.40,B,180.00
R1,88.99,-55.40,B,180.00
R1,58.99,-55.40,B,180.00
R1,28.99,-55.40,B,180.00
R1,88.99,-25.40,B,180.00
R3,85.90,-9.80,T,270.00
R3,85.90,-69.80,T,270.00
R3,25.90,-9.80,T,270.00
R3,55.90,-9.80,T,270.00
R3,55.90,-69.80,T,270.00
R3,25.90,-69.80,T,270.00
R3,85.90,-39.80,T,270.00
R3,25.90,-39.80,T,270.00
R3,55.90,-39.80,T,270.00
R4,57.20,-91.30,B,0.00
R4,27.20,-91.30,B,0.00
R4,87.20,-91.30,B,0.00
R4,57.20,-31.30,B,0.00
R4,87.20,-61.30,B,0.00
R4,87.20,-31.30,B,0.00
R4,27.20,-31.30,B,0.00
R4,27.20,-61.30,B,0.00
R4,57.20,-61.30,B,0.00
R5,89.50,-30.30,B,0.00
R5,29.50,-30.30,B,0.00
R5,89.50,-90.30,B,0.00
R5,59.50,-90.30,B,0.00
R5,59.50,-60.30,B,0.00
R5,29.50,-90.30,B,0.00
R5,59.50,-30.30,B,0.00
R5,89.50,-60.30,B,0.00
R5,29.50,-60.30,B,0.00
U2,81.00,-21.00,T,180.00
U2,51.00,-81.00,T,180.00
U2,21.00,-21.00,T,180.00
U2,21.00,-51.00,T,180.00
U2,81.00,-51.00,T,180.00
U2,51.00,-51.00,T,180.00
U2,21.00,-81.00,T,180.00
U2,81.00,-81.00,T,180.00
U2,51.00,-21.00,T,180.00
U3,86.30,-15.20,T,0.00
U3,56.30,-75.20,T,0.00
U3,86.30,-75.20,T,0.00
U3,26.30,-15.20,T,0.00
U3,86.30,-45.20,T,0.00
U3,56.30,-15.20,T,0.00
U3,26.30,-45.20,T,0.00
U3,26.30,-75.20,T,0.00
U3,56.30,-45.20,T,0.00
U4,18.30,-43.00,T,270.00
U4,18.30,-73.00,T,270.00
U4,48.30,-73.00,T,270.00
U4,78.30,-73.00,T,270.00
U4,78.30,-13.00,T,270.00
U4,18.30,-13.00,T,270.00
U4,78.30,-43.00,T,270.00
U4,48.30,-43.00,T,270.00
U4,48.30,-13.00,T,270.00
